PDB,IRMSD_AF2,IRMSD_AlphaRED,fnat_AF2,fnat_AlphaRED,CAPRI_AF2,CAPRI_AlphaRED,Flexibility,is_ab
1ACB,2.51,2.02,0.86,0.85,1,1,Difficult,False
1ATN,1.35,1.29,0.87,0.89,2,2,Difficult,False
1BKD,1.64,1.48,0.84,0.83,2,2,Difficult,False
1DE4,4.43,5.91,0.37,0.12,0,0,Difficult,False
1E4K,16.83,5.11,0.03,0.09,0,0,Difficult,False
1EER,1.75,1.64,0.8,0.81,2,2,Difficult,False
1F6M,2.76,2.75,0.5,0.56,1,1,Difficult,False
1FAK,1.71,1.91,0.71,0.71,2,2,Difficult,False
1FQ1,4.06,3.24,0.5,0.56,0,1,Difficult,False
1H1V,3.61,3.63,0.22,0.22,1,1,Difficult,False
1IBR,1.34,1.31,0.79,0.89,2,2,Difficult,False
1IRA,2.76,2.42,0.52,0.62,1,1,Difficult,False
1JK9,1.7,1.64,0.79,0.87,2,2,Difficult,False
1JM0,4.1,3.69,0.72,0.82,0,1,Difficult,False
1JZD,17.62,17.6,0.0,0.0,0,0,Difficult,False
1PXV,1.3,1.37,0.89,0.91,2,2,Difficult,False
1R8S,2.12,2.06,0.74,0.75,1,1,Difficult,False
1RKE,4.31,4.12,0.57,0.64,0,0,Difficult,False
1Y64,7.44,6.93,0.4,0.35,0,0,Difficult,False
1ZLI,1.84,1.79,0.86,0.88,2,2,Difficult,False
2C0L,1.36,1.21,0.89,0.9,2,2,Difficult,False
2FJG,17.03,5.65,0.02,0.07,0,0,Difficult,True
2I9B,3.98,3.03,0.59,0.66,1,1,Difficult,False
2J7P,2.74,2.76,0.38,0.43,1,1,Difficult,False
2O3B,1.27,1.29,0.73,0.81,2,2,Difficult,False
2O3B,1.16,1.16,0.81,0.85,2,2,Difficult,False
2OT3,1.97,2.01,0.69,0.7,2,1,Difficult,False
3AAD,22.37,21.03,0.0,0.0,0,0,Difficult,False
3AAD,21.6,21.48,0.0,0.0,0,0,Difficult,False
3F1P,16.89,12.14,0.0,0.0,0,0,Difficult,False
3FN1,1.93,1.94,0.75,0.77,2,2,Difficult,False
3H11,5.89,6.0,0.35,0.55,0,0,Difficult,False
4DW2,18.37,7.0,0.0,0.02,0,0,Difficult,True
4GAM,28.34,28.11,0.0,0.0,0,0,Difficult,False
5C7X,3.76,2.8,0.23,0.48,1,1,Difficult,True
1B6C,5.3,4.24,0.39,0.31,0,0,Medium,False
1CGI,1.66,1.63,0.86,0.86,2,2,Medium,False
1FC2,1.96,1.87,0.84,0.88,2,2,Medium,False
1GP2,2.33,1.93,0.48,0.55,1,2,Medium,False
1GRN,1.8,1.72,0.78,0.76,2,2,Medium,False
1HE8,3.48,3.42,0.77,0.77,1,1,Medium,False
1I2M,3.03,3.1,0.74,0.66,1,1,Medium,False
1IB1,17.08,5.07,0.0,0.22,0,0,Medium,False
1IJK,5.18,5.23,0.78,0.72,0,0,Medium,False
1JIW,1.53,1.41,0.63,0.75,2,2,Medium,False
1K5D,1.55,1.57,0.75,0.75,2,2,Medium,False
1KKL,20.46,17.77,0.02,0.0,0,0,Medium,False
1LFD,1.0,1.07,0.88,0.94,2,2,Medium,False
1M10,4.4,5.4,0.27,0.33,0,0,Medium,False
1MQ8,1.97,1.58,0.73,0.94,2,2,Medium,False
1NW9,13.89,4.93,0.0,0.34,0,0,Medium,False
1R6Q,1.06,1.02,0.94,0.89,2,2,Medium,False
1SYX,1.22,1.17,0.79,0.9,2,2,Medium,False
1WQ1,1.54,1.45,0.68,0.79,2,2,Medium,False
1XQS,1.91,1.71,0.75,0.87,2,2,Medium,False
