target,difficulty,dockq,success,tm_score_complex,tm_score_ligand,n_residues_complex,error
1A2K,rigid_targets,0.9791928881924336,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1AHW,rigid_targets,0.5995851368132389,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1AK4,rigid_targets,0.725570527165112,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1AKJ,rigid_targets,0.9343023113927308,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1AVX,rigid_targets,0.9883134856765032,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1AY7,rigid_targets,0.6493973654858616,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1AZS,rigid_targets,0.9786252417266894,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1BUH,rigid_targets,0.6122449307206511,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1BVN,rigid_targets,0.8761493845424154,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1CLV,rigid_targets,0.9594222221214058,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1D6R,rigid_targets,0.9690475653152456,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1DFJ,rigid_targets,0.5569832205711456,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1DQJ,rigid_targets,0.8134172199930555,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1E6E,rigid_targets,0.8095267611030819,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1E6J,rigid_targets,0.5960105637188361,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1E96,rigid_targets,0.9765090540987228,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1EAW,rigid_targets,0.9454027366587232,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1EFN,rigid_targets,0.9457950162371672,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1EWY,rigid_targets,0.9384429215933612,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1EXB,rigid_targets,0.0590993177497541,False,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1EZU,rigid_targets,0.6105970970356741,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1F34,rigid_targets,0.5976934315018677,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1F51,rigid_targets,0.9454239352620836,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1FCC,rigid_targets,0.919269842414566,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1FFW,rigid_targets,0.8627000304714384,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1FLE,rigid_targets,0.6512329808441413,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1FQJ,rigid_targets,0.9242284226667912,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1GCQ,rigid_targets,0.9620889270788208,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1GHQ,rigid_targets,0.970302487333191,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1GL1,rigid_targets,0.6911189377768339,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1GLA,rigid_targets,0.9820842450742276,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1GPW,rigid_targets,0.6474305419338742,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1GXD,rigid_targets,0.7631966910499374,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1H9D,rigid_targets,0.7477604827374592,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1HCF,rigid_targets,0.9457667857238388,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1HE1,rigid_targets,0.9304077849210426,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1HIA,rigid_targets,0.640001161283017,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1I4D,rigid_targets,0.4852667975761306,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1J2J,rigid_targets,0.6176400684861884,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1JPS,rigid_targets,0.9535761982577858,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1JTD,rigid_targets,0.6385460116206816,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1JTG,rigid_targets,0.6342086049676965,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1JWH,rigid_targets,0.7286153236676592,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1K74,rigid_targets,0.9672107661849236,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1KAC,rigid_targets,0.5704871499873201,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1KLU,rigid_targets,0.5472372423873711,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1KTZ,rigid_targets,0.9908866411252856,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1KXP,rigid_targets,0.5174804133641486,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1M27,rigid_targets,0.625206904545676,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1MAH,rigid_targets,0.895860596248878,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1ML0,rigid_targets,0.6697594228657545,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1MLC,rigid_targets,0.9735179055462037,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1OC0,rigid_targets,0.5603355847212798,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1OFU,rigid_targets,0.5072472725448723,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1OPH,rigid_targets,0.9364346270500896,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1OYV,rigid_targets,0.5397874574523237,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1PPE,rigid_targets,0.9468906450527128,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1PVH,rigid_targets,0.983723137380472,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1QA9,rigid_targets,0.9530895579677447,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
1R0R,rigid_targets,0.8633235334041678,True,,,,prepare_graph_data() takes from 1 to 2 positional arguments but 4 were given
